score,status,final_url,orig_url,content_type,server,content_length,response_ms,tls_issuer,flags,notes
5,200,https://github.blog/news-insights/research/survey-ai-wave-grows/,https://github.blog/news-insights/research/survey-ai-wave-grows/,text/html; charset=UTF-8,nginx,,194,,,
5,200,https://docs.github.com/articles/github-privacy-statement,https://docs.github.com/articles/github-privacy-statement,text/html; charset=utf-8,,,194,,,
5,200,https://docs.github.com/account-and-profile/setting-up-and-managing-your-personal-account-on-github/managing-personal-account-settings/managing-your-cookie-preferences-for-githubs-enterprise-marketing-pages,https://docs.github.com/account-and-profile/setting-up-and-managing-your-personal-account-on-github/managing-personal-account-settings/managing-your-cookie-preferences-for-githubs-enterprise-marketing-pages,text/html; charset=utf-8,,,200,,,
5,200,https://github.com/,https://github.com/,text/html; charset=utf-8,github.com,,208,,,
5,200,https://docs.github.com/site-policy/privacy-policies/github-privacy-statement,https://docs.github.com/site-policy/privacy-policies/github-privacy-statement,text/html; charset=utf-8,,,70,,,
5,200,https://docs.github.com/site-policy/privacy-policies/github-subprocessors-and-cookies,https://docs.github.com/site-policy/privacy-policies/github-subprocessors-and-cookies,text/html; charset=utf-8,,,76,,,
5,404,https://github.com/-,https://github.com/-,text/plain; charset=utf-8,github.com,9,302,,,
5,404,https://github.com/--/g,https://github.com/--/g,text/plain; charset=utf-8,github.com,9,157,,,
5,404,https://github.com/-element,https://github.com/-element,text/plain; charset=utf-8,github.com,9,158,,,
5,404,https://github.com/-/g,https://github.com/-/g,text/html; charset=utf-8,github.com,,231,,,
5,404,https://github.com/-self,https://github.com/-self,text/plain; charset=utf-8,github.com,9,154,,,
5,404,https://github.com/.25,https://github.com/.25,text/plain; charset=utf-8,github.com,9,156,,,
5,404,https://github.com/.exec,https://github.com/.exec,text/plain; charset=utf-8,github.com,9,153,,,
5,404,https://github.com/.source.replace,https://github.com/.source.replace,text/plain; charset=utf-8,github.com,9,141,,,
5,404,https://github.com/.test,https://github.com/.test,text/plain; charset=utf-8,github.com,9,153,,,
5,404,https://github.com/0:0,https://github.com/0:0,text/plain; charset=utf-8,github.com,9,137,,,
5,200,https://github.com/0,https://github.com/0,text/html; charset=utf-8,github.com,,311,,,
5,404,https://github.com/0:3,https://github.com/0:3,text/plain; charset=utf-8,github.com,9,159,,,
5,200,https://github.com/0x100000000,https://github.com/0x100000000,text/html; charset=utf-8,github.com,,272,,,
5,406,https://github.com/1.055,https://github.com/1.055,text/html,github.com,0,154,,,WAF:UnknownBlock
5,406,https://github.com/10.5,https://github.com/10.5,text/html,github.com,0,180,,,WAF:UnknownBlock
5,200,https://github.com/10,https://github.com/10,text/html; charset=utf-8,github.com,,278,,,
5,404,https://github.com/100:0,https://github.com/100:0,text/plain; charset=utf-8,github.com,9,141,,,
5,200,https://github.com/100,https://github.com/100,text/html; charset=utf-8,github.com,,327,,,
5,404,https://github.com/100:1,https://github.com/100:1,text/plain; charset=utf-8,github.com,9,147,,,
5,404,https://github.com/116,https://github.com/116,text/plain; charset=utf-8,github.com,9,155,,,
5,200,https://github.com/11,https://github.com/11,text/html; charset=utf-8,github.com,,285,,,
5,406,https://github.com/12.92,https://github.com/12.92,text/html,github.com,0,166,,,WAF:UnknownBlock
5,200,https://github.com/12,https://github.com/12,text/html; charset=utf-8,github.com,,296,,,
